source_id,source_name,operator,commune,department,region,sector,x_l93_m,y_l93_m,longitude,latitude,user_case_emissions_tpy,irep_2024_total_co2_tpy,irep_2024_fossil_co2_tpy,irep_id,announced_product_co2_tpy,announced_start_year,project_name,project_status,capture_technology,capturable_fraction,capture_rate,availability,capture_electricity_mwh_per_t_captured,capture_steam_gj_per_t_captured,capture_variable_opex_eur_per_t_captured,capture_reference_capex_meur,capture_reference_capacity_tpy,capture_scale_exponent,capture_fixed_opex_fraction,purification_train,purification_recovery,product_co2_mol_pct,product_h2o_ppmv,product_o2_ppmv,product_nox_ppmv,product_sox_ppmv,product_co_ppmv,purification_electricity_mwh_per_t_product,purification_variable_opex_eur_per_t_product,purification_reference_capex_meur,purification_reference_capacity_tpy,purification_scale_exponent,purification_fixed_opex_fraction,priority,routing_factor,assumption_quality,primary_source_url
S1,Chaux et Dolomies du Boulonnais,Lhoist,Réty,Pas-de-Calais,Hauts-de-France,lime,613920.189,7076679.209,1.781750,50.780670,642894.164417643,603000,545000,0007000874,610000,2028,CalCC,project-backed,Cryocap FG cryogenic separation,0.98,0.95,0.95,0.18,0.0,6,160.0,613065,0.67,0.025,Dehydration impurity polishing and compression to 110 bar,0.995,99.99,20,5,1,1,50,0.12,2,38.444,610000,0.67,0.025,1,1.35,project-specific,https://climate.ec.europa.eu/system/files/2022-12/if_pf_2022_calcc_en.pdf
S2,ETEX France Building Performance,ETEX,Auneuil,Oise,Hauts-de-France,gypsum_plaster,626750.451,6921106.207,1.991430,49.385250,270898.577661492,44800,44800,0005100850,0,,No announced CCS project,conceptual,Post-combustion amine absorption,0.85,0.90,0.90,0.03,3.5,14,145,502513,0.67,0.040,Water knockout dehydration polishing and compression to 110 bar,0.995,99.90,20,8,1,1,50,0.12,4,35,500000,0.67,0.040,5,1.20,screening,https://www.georisques.gouv.fr/donnees/bases-de-donnees/installations-industrielles-rejetant-des-polluants
S3,EQIOM Lumbres cement plant,EQIOM,Lumbres,Pas-de-Calais,Hauts-de-France,cement,637211.110,7067265.987,2.112840,50.699000,483691.447901,405000,367000,0007000785,800000,2028,K6 Program,project-backed,Oxyfuel kiln with Cryocap Oxy separation,0.95,0.92,0.93,0.28,0.0,9,240,804020,0.67,0.025,Dehydration cryogenic polishing and compression to 110 bar,0.995,99.95,20,5,1,1,50,0.17,3,60,800000,0.67,0.025,1,1.20,project-plus-screening,https://climate.ec.europa.eu/document/download/ab1d0b6c-6dbd-4786-b05b-fe6faf35b45e_en?filename=if_pf_2022_k6_en.pdf
S4,Aluminium Dunkerque,Aluminium Dunkerque,Loon-Plage,Nord,Hauts-de-France,aluminium,643079.634,7101671.615,2.190770,51.008210,616381.156316917,492000,491000,0007000683,0,,No announced full-scale CCS project,conceptual,Low-concentration pot-gas amine capture,0.75,0.85,0.85,0.22,5.0,29,330,502513,0.67,0.040,Water knockout dehydration polishing and compression to 110 bar,0.995,99.90,20,10,1,1,80,0.18,6,70,500000,0.67,0.040,6,1.10,low-maturity-screening,https://www.georisques.gouv.fr/donnees/bases-de-donnees/installations-industrielles-rejetant-des-polluants
S5,ArcelorMittal Dunkerque steelworks,ArcelorMittal,Dunkerque,Nord,Hauts-de-France,iron_steel,653288.283,7102487.317,2.335800,51.016380,8901635.92683043,5995000,5995000,0007000956,0,,3D DMX pilot,pilot-completed,DMX absorption on selected blast-furnace gas,0.35,0.90,0.90,0.03,2.4,12,750,2010050,0.67,0.035,Water knockout dehydration non-condensable removal and compression to 110 bar,0.995,99.90,20,10,1,1,100,0.09,3,150,2000000,0.67,0.035,3,1.10,pilot-plus-screening,https://innovation-centre-for-industrial-transformation.ec.europa.eu/innovative-techniques/carbon-capture-blast-furnace-flue-gas-emissions-absorption-using-amine
